field	message	count	table
datasetName	Required field datasetName is missing	1	event
decimalLatitude	Required field decimalLatitude is missing	1	event
decimalLongitude	Required field decimalLongitude is missing	1	event
institutionCode	Required field institutionCode is missing	1	event
maximumDepthInMeters	Recommended field maximumDepthInMeters is missing	1	event
minimumDepthInMeters	Recommended field minimumDepthInMeters is missing	1	event
occurrenceStatus	Required field occurrenceStatus is missing	1	occurrence
occurrence_error	Potential duplicate record	78	occurrence
scientificNameID	Required field scientificNameID is missing	1	occurrence
