eventID	decimalLatitude	decimalLongitude	quality
MGYA00582612	14.158	-71.6733	OK
MGYA00582613	17.3703	-130.611	OK
MGYA00582614	-3.4103	-169.4625	OK
MGYA00582615	-3.4103	-169.4625	OK
MGYA00582616	-33.9072	37.0422	OK
MGYA00582617	-25.8682	-27.5673	OK
MGYA00582618	14.158	-71.6733	OK
MGYA00582619	14.158	-71.6733	OK
MGYA00582620	10.7585	-102.4423	OK
MGYA00582621	17.3703	-130.611	OK
MGYA00582622	-3.4103	-169.4625	OK
MGYA00582623	-29.574	96.4073	OK
MGYA00582624	-29.3535	69.4	OK
MGYA00582625	-30.8817	0.9678	OK
MGYA00582626	-25.8682	-27.5673	OK
MGYA00582627	-25.8682	-27.5673	OK
MGYA00582628	23.274	-22.2222	OK
MGYA00582629	26.911	-32.8365	OK
MGYA00582630	26.911	-32.8365	OK
MGYA00582631	14.158	-71.6733	OK
MGYA00582632	10.7585	-102.4423	OK
MGYA00582633	10.7585	-102.4423	OK
MGYA00582634	17.3703	-130.611	OK
MGYA00582635	6.9922	-164.3717	OK
MGYA00582636	-3.4103	-169.4625	OK
MGYA00582637	-29.3535	69.4	OK
MGYA00582638	-33.9072	37.0422	OK
MGYA00582639	-33.9072	37.0422	OK
MGYA00582640	-33.9072	37.0422	OK
MGYA00582641	-30.8817	0.9678	OK
MGYA00582642	-25.8682	-27.5673	OK
MGYA00582643	-4.7787	-28.1687	OK
MGYA00582644	-4.7787	-28.1687	OK
MGYA00582645	26.911	-32.8365	OK
MGYA00582646	14.158	-71.6733	OK
MGYA00582647	14.158	-71.6733	OK
MGYA00582648	10.7585	-102.4423	OK
MGYA00582649	10.7585	-102.4423	OK
MGYA00582650	17.3703	-130.611	OK
MGYA00582651	17.3703	-130.611	OK
MGYA00582652	6.9922	-164.3717	OK
MGYA00582653	6.9922	-164.3717	OK
MGYA00582654	6.9922	-164.3717	OK
MGYA00582655	-3.4103	-169.4625	OK
MGYA00582656	-3.4103	-169.4625	OK
MGYA00582657	-29.574	96.4073	OK
MGYA00582658	-29.574	96.4073	OK
MGYA00582659	-29.574	96.4073	OK
MGYA00582660	-29.3535	69.4	OK
MGYA00582661	-29.3535	69.4	OK
MGYA00582662	-29.3535	69.4	OK
MGYA00582663	-33.9072	37.0422	OK
MGYA00582664	-33.9072	37.0422	OK
MGYA00582665	-33.9072	37.0422	OK
MGYA00582666	-33.9072	37.0422	OK
MGYA00582667	-30.8817	0.9678	OK
MGYA00582668	-30.8817	0.9678	OK
MGYA00582669	-30.8817	0.9678	OK
MGYA00582670	-25.8682	-27.5673	OK
MGYA00582671	-4.7787	-28.1687	OK
MGYA00582672	-4.7787	-28.1687	OK
MGYA00582673	-4.7787	-28.1687	OK
MGYA00582674	23.274	-22.2222	OK
MGYA00582675	23.274	-22.2222	OK
MGYA00582676	26.911	-32.8365	OK
MGYA00582677	10.7585	-102.4423	OK
MGYA00582678	17.3703	-130.611	OK
MGYA00582679	6.9922	-164.3717	OK
MGYA00582680	6.9922	-164.3717	OK
MGYA00582681	-3.4103	-169.4625	OK
MGYA00582682	-29.3535	69.4	OK
MGYA00582683	-33.9072	37.0422	OK
MGYA00582684	-30.8817	0.9678	OK
MGYA00582685	-25.8682	-27.5673	OK
MGYA00582686	-4.7787	-28.1687	OK
MGYA00582687	-4.7787	-28.1687	OK
MGYA00582688	-4.7787	-28.1687	OK
MGYA00582689	-4.7787	-28.1687	OK
MGYA00582690	23.274	-22.2222	OK
MGYA00582691	26.911	-32.8365	OK
MGYA00582692	26.911	-32.8365	OK
MGYA00582693	14.158	-71.6733	OK
MGYA00582694	14.158	-71.6733	OK
MGYA00582695	14.158	-71.6733	OK
MGYA00582696	10.7585	-102.4423	OK
MGYA00582697	10.7585	-102.4423	OK
MGYA00582698	10.7585	-102.4423	OK
MGYA00582699	17.3703	-130.611	OK
MGYA00582700	17.3703	-130.611	OK
MGYA00582701	6.9922	-164.3717	OK
MGYA00582702	17.3703	-130.611	OK
MGYA00582703	6.9922	-164.3717	OK
MGYA00582704	6.9922	-164.3717	OK
MGYA00582705	6.9922	-164.3717	OK
MGYA00582706	-3.4103	-169.4625	OK
MGYA00582707	-3.4103	-169.4625	OK
MGYA00582708	-3.4103	-169.4625	OK
MGYA00582709	-3.4103	-169.4625	OK
MGYA00582710	-29.574	96.4073	OK
MGYA00582711	-29.574	96.4073	OK
MGYA00582712	-29.574	96.4073	OK
MGYA00582713	-29.3535	69.4	OK
MGYA00582714	-29.3535	69.4	OK
MGYA00582715	-29.3535	69.4	OK
MGYA00582716	-33.9072	37.0422	OK
MGYA00582717	-33.9072	37.0422	OK
MGYA00582718	-33.9072	37.0422	OK
MGYA00582719	-30.8817	0.9678	OK
MGYA00582720	-30.8817	0.9678	OK
MGYA00582721	-30.8817	0.9678	OK
MGYA00582722	-25.8682	-27.5673	OK
MGYA00582723	-25.8682	-27.5673	OK
MGYA00582724	-25.8682	-27.5673	OK
MGYA00582725	-25.8682	-27.5673	OK
MGYA00582726	-4.7787	-28.1687	OK
MGYA00582727	-4.7787	-28.1687	OK
MGYA00582728	-4.7787	-28.1687	OK
MGYA00582729	-4.7787	-28.1687	OK
MGYA00582730	23.274	-22.2222	OK
MGYA00582731	23.274	-22.2222	OK
