scientificName	scientificNameID	count	scientificNameMatch	url	status	scientificNameaccepted	rank	kingdom	class	family	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct
Euglenophyceae	urn:lsid:marinespecies.org:taxname:19539	3	Euglenophyceae	https://marinespecies.org/aphia.php?p=taxdetails&id=19539	accepted	Euglenophyceae	Class	Protozoa	Euglenophyceae		1				
Euglypha rotunda	urn:lsid:marinespecies.org:taxname:136898	1	Euglypha rotunda	https://marinespecies.org/aphia.php?p=taxdetails&id=136898	accepted	Euglypha rotunda	Species	Chromista	Imbricatea	Euglyphidae	1				
Euglyphida	urn:lsid:marinespecies.org:taxname:22624	76	Euglyphida	https://marinespecies.org/aphia.php?p=taxdetails&id=22624	accepted	Euglyphida	Order	Chromista	Imbricatea		1	1	1		
Euglyphida XX sp.		38													
Eugregarinorida	urn:lsid:marinespecies.org:taxname:394869	65	Eugregarinorida	https://marinespecies.org/aphia.php?p=taxdetails&id=394869	accepted	Eugregarinorida	Order	Chromista	Conoidasida		1	1	1	1	
Eugregarinorida EUG2 X sp.		56													
Eugregarinorida XX sp.		1													
Eukaryota		128285													
Eumonhystera sp.		1													
Eunice	urn:lsid:marinespecies.org:taxname:129278	63	Eunice	https://marinespecies.org/aphia.php?p=taxdetails&id=129278	accepted	Eunice	Genus	Animalia	Polychaeta	Eunicidae	1	0	0	0	0
Eupelagonemidae X sp.		6													
Euplica turturina	urn:lsid:marinespecies.org:taxname:511781	1	Euplica turturina	https://marinespecies.org/aphia.php?p=taxdetails&id=511781	accepted	Euplica turturina	Species	Animalia	Gastropoda	Columbellidae	1				
Euplotes	urn:lsid:marinespecies.org:taxname:179326	95	Euplotes	https://marinespecies.org/aphia.php?p=taxdetails&id=179326	accepted	Euplotes	Genus	Chromista	Spirotrichea	Euplotidae	1	0	0	0	
Euplotes aediculatus	urn:lsid:marinespecies.org:taxname:427655	4	Euplotes aediculatus	https://marinespecies.org/aphia.php?p=taxdetails&id=427655	accepted	Euplotes aediculatus	Species	Chromista	Spirotrichea	Euplotidae	0	1	1	0	
Euplotes dammamensis		23													
Euplotes encysticus		9													
Euplotes magnicirratus		2													
Euplotes minuta	urn:lsid:marinespecies.org:taxname:417114	4	Euplotes minuta	https://marinespecies.org/aphia.php?p=taxdetails&id=417114	accepted	Euplotes minuta	Species	Chromista	Spirotrichea	Euplotidae	1	0	0	0	
Euplotes parabalteatus	urn:lsid:marinespecies.org:taxname:427673	4	Euplotes parabalteatus	https://marinespecies.org/aphia.php?p=taxdetails&id=427673	accepted	Euplotes parabalteatus	Species	Chromista	Spirotrichea	Euplotidae	1	0	0	0	
Euplotes parkei		7													
Euplotes petzi		9													
