eventID	decimalLatitude	decimalLongitude	quality
MGYA00585242	42.487	3.169	OK
MGYA00585243	42.487	3.169	OK
MGYA00585244	42.487	3.169	OK
MGYA00585245	42.487	3.169	OK
MGYA00585246	42.487	3.17	OK
MGYA00585247	42.487	3.169	OK
MGYA00585248	42.487	3.169	OK
MGYA00585249	42.487	3.169	OK
MGYA00585250	42.487	3.169	OK
MGYA00585251	42.487	3.169	OK
MGYA00585252	42.487	3.169	OK
MGYA00585254	42.487	3.169	OK
MGYA00585255	42.487	3.169	OK
MGYA00585256	42.487	3.17	OK
MGYA00585257	42.487	3.169	OK
MGYA00585258	42.487	3.17	OK
MGYA00585259	42.487	3.17	OK
MGYA00585260	42.487	3.169	OK
MGYA00585261	42.487	3.169	OK
MGYA00585262	42.487	3.169	OK
MGYA00585263	42.487	3.169	OK
MGYA00585265	42.487	3.169	OK
MGYA00585266	42.487	3.169	OK
MGYA00585267	42.487	3.169	OK
MGYA00585268	42.487	3.169	OK
MGYA00585284	42.487	3.169	OK
MGYA00585285	42.487	3.169	OK
MGYA00585286	42.487	3.169	OK
MGYA00585287	42.487	3.169	OK
MGYA00585288	42.487	3.17	OK
MGYA00585289	42.487	3.169	OK
MGYA00585290	42.487	3.169	OK
MGYA00585291	42.487	3.169	OK
MGYA00585292	42.487	3.169	OK
MGYA00585293	42.487	3.169	OK
MGYA00585294	42.487	3.17	OK
MGYA00585295	42.487	3.169	OK
MGYA00585297	42.487	3.169	OK
MGYA00585298	42.487	3.169	OK
MGYA00585299	42.487	3.169	OK
MGYA00585300	42.487	3.17	OK
MGYA00585301	42.487	3.169	OK
MGYA00585302	42.487	3.169	OK
MGYA00585303	42.487	3.169	OK
MGYA00585304	42.487	3.169	OK
MGYA00585305	42.487	3.169	OK
MGYA00585306	42.487	3.169	OK
MGYA00585307	42.487	3.169	OK
MGYA00585308	42.487	3.169	OK
MGYA00585309	42.487	3.17	OK
MGYA00585310	42.487	3.169	OK
MGYA00585311	42.487	3.169	OK
MGYA00585312	42.487	3.169	OK
MGYA00585314	42.487	3.169	OK
MGYA00585315	42.487	3.17	OK
MGYA00585316	42.487	3.169	OK
MGYA00585317	42.487	3.169	OK
MGYA00585318	42.487	3.169	OK
MGYA00585319	42.487	3.169	OK
MGYA00585320	42.487	3.169	OK
MGYA00585321	42.487	3.169	OK
MGYA00585322	42.487	3.169	OK
MGYA00585323	42.487	3.169	OK
MGYA00585325	42.487	3.169	OK
MGYA00585326	42.487	3.169	OK
MGYA00585327	42.487	3.169	OK
MGYA00585328	42.487	3.169	OK
MGYA00585329	42.487	3.169	OK
MGYA00585330	42.487	3.169	OK
MGYA00585332	42.487	3.169	OK
MGYA00585333	42.487	3.169	OK
MGYA00585334	42.487	3.169	OK
MGYA00585335	42.487	3.169	OK
MGYA00585336	42.487	3.17	OK
MGYA00585337	42.487	3.169	OK
MGYA00585338	42.487	3.169	OK
MGYA00585339	42.487	3.169	OK
MGYA00585340	42.487	3.169	OK
MGYA00585341	42.487	3.169	OK
MGYA00585342	42.487	3.169	OK
MGYA00585343	42.487	3.169	OK
MGYA00585344	42.487	3.169	OK
MGYA00585345	42.487	3.169	OK
MGYA00585346	42.487	3.169	OK
MGYA00585347	42.487	3.169	OK
MGYA00585348	42.487	3.169	OK
MGYA00585349	42.487	3.169	OK
MGYA00585350	42.487	3.169	OK
MGYA00585351	42.487	3.17	OK
MGYA00585352	42.487	3.169	OK
MGYA00585353	42.487	3.169	OK
MGYA00585354	42.487	3.169	OK
MGYA00585355	42.487	3.17	OK
MGYA00585356	42.487	3.169	OK
MGYA00585357	42.487	3.17	OK
MGYA00585358	42.487	3.169	OK
MGYA00585360	42.487	3.169	OK
MGYA00585361	42.487	3.169	OK
MGYA00585362	42.487	3.17	OK
MGYA00585363	42.487	3.169	OK
MGYA00585364	42.487	3.169	OK
MGYA00585365	42.487	3.169	OK
MGYA00585366	42.487	3.169	OK
MGYA00585367	42.487	3.169	OK
MGYA00585368	42.487	3.169	OK
MGYA00585369	42.487	3.17	OK
MGYA00585370	42.487	3.169	OK
MGYA00585371	42.487	3.169	OK
MGYA00585372	42.487	3.17	OK
MGYA00585373	42.487	3.169	OK
MGYA00585374	42.487	3.169	OK
MGYA00585375	42.487	3.169	OK
MGYA00585376	42.487	3.169	OK
MGYA00585377	42.487	3.169	OK
MGYA00585378	42.487	3.169	OK
MGYA00585379	42.487	3.169	OK
MGYA00585380	42.487	3.169	OK
MGYA00585381	42.487	3.169	OK
MGYA00585382	42.487	3.169	OK
MGYA00585383	42.487	3.169	OK
MGYA00585384	42.487	3.169	OK
MGYA00585385	42.487	3.169	OK
MGYA00585386	42.487	3.169	OK
MGYA00585387	42.487	3.169	OK
MGYA00585388	42.487	3.169	OK
MGYA00585389	42.487	3.169	OK
MGYA00585390	42.487	3.169	OK
MGYA00585391	42.487	3.169	OK
MGYA00585392	42.487	3.17	OK
MGYA00585393	42.487	3.169	OK
MGYA00585394	42.487	3.17	OK
MGYA00585396	42.487	3.169	OK
MGYA00585397	42.487	3.169	OK
MGYA00585398	42.487	3.169	OK
MGYA00585399	42.487	3.169	OK
MGYA00585400	42.487	3.169	OK
MGYA00585401	42.487	3.169	OK
MGYA00585403	42.487	3.169	OK
MGYA00585404	42.487	3.169	OK
MGYA00585405	42.487	3.169	OK
MGYA00585406	42.487	3.169	OK
MGYA00585407	42.487	3.169	OK
MGYA00585408	42.487	3.169	OK
MGYA00585409	42.487	3.169	OK
MGYA00585410	42.487	3.17	OK
MGYA00585411	42.487	3.169	OK
MGYA00585412	42.487	3.169	OK
MGYA00585413	42.487	3.169	OK
MGYA00585414	42.487	3.169	OK
MGYA00585415	42.487	3.169	OK
MGYA00585416	42.487	3.169	OK
MGYA00585417	42.487	3.169	OK
MGYA00585418	42.487	3.169	OK
MGYA00585419	42.487	3.17	OK
MGYA00585420	42.487	3.169	OK
MGYA00585421	42.487	3.169	OK
MGYA00585422	42.487	3.169	OK
MGYA00585423	42.487	3.169	OK
MGYA00585424	42.487	3.169	OK
MGYA00585425	42.487	3.17	OK
MGYA00585426	42.487	3.169	OK
MGYA00585427	42.487	3.169	OK
MGYA00585429	42.487	3.169	OK
MGYA00585430	42.487	3.169	OK
MGYA00585431	42.487	3.169	OK
MGYA00585432	42.487	3.169	OK
MGYA00585433	42.487	3.17	OK
MGYA00585435	42.487	3.169	OK
MGYA00585436	42.487	3.169	OK
MGYA00585437	42.487	3.169	OK
MGYA00585438	42.487	3.169	OK
MGYA00585439	42.487	3.17	OK
MGYA00585440	42.487	3.169	OK
MGYA00585441	42.487	3.169	OK
MGYA00585442	42.487	3.169	OK
MGYA00585443	42.487	3.169	OK
MGYA00585444	42.487	3.17	OK
MGYA00585445	42.487	3.169	OK
MGYA00585446	42.487	3.169	OK
MGYA00585448	42.487	3.17	OK
MGYA00585449	42.487	3.169	OK
MGYA00585450	42.487	3.169	OK
MGYA00585451	42.487	3.17	OK
MGYA00585452	42.487	3.169	OK
MGYA00585453	42.487	3.17	OK
MGYA00585454	42.487	3.169	OK
MGYA00585455	42.487	3.169	OK
MGYA00585456	42.487	3.169	OK
MGYA00585458	42.487	3.169	OK
MGYA00585459	42.487	3.169	OK
MGYA00585460	42.487	3.169	OK
MGYA00585461	42.487	3.169	OK
MGYA00585462	42.487	3.169	OK
MGYA00585463	42.487	3.169	OK
MGYA00585464	42.487	3.169	OK
MGYA00585465	42.487	3.169	OK
MGYA00585466	42.487	3.169	OK
MGYA00585467	42.487	3.169	OK
MGYA00585469	42.487	3.169	OK
MGYA00585470	42.487	3.169	OK
MGYA00585471	42.487	3.169	OK
MGYA00585473	42.487	3.169	OK
MGYA00585493	42.487	3.169	OK
MGYA00585628	42.487	3.169	OK
MGYA00585691	42.487	3.169	OK
MGYA00590819	42.487	3.169	OK
MGYA00590820	42.487	3.169	OK
MGYA00590821	42.487	3.169	OK
