eventID	decimalLatitude	decimalLongitude	quality
MGYA00582813	-31.134	110.207	OK
MGYA00582814	-29.749	86.257	OK
MGYA00582815	-29.828	79.611	OK
MGYA00582816	-28.649	-11.812	OK
MGYA00582817	32.079	-17.266	OK
MGYA00582818	22.863	-44.528	OK
MGYA00582819	12.363	-74.039	OK
MGYA00582820	11.354	-105.011	OK
MGYA00582821	19.279	-138.965	OK
MGYA00582822	30.966	-20.65	OK
MGYA00582823	29.967	-23.686	OK
MGYA00582824	28.875	-26.951	OK
MGYA00582825	26.911	-32.837	OK
MGYA00582826	26.11	-35.258	OK
MGYA00582827	24.845	-38.71	OK
MGYA00582828	23.735	-41.902	OK
MGYA00582829	20.804	-50.143	OK
MGYA00582830	19.99	-52.637	OK
MGYA00582831	18.996	-55.15	OK
MGYA00582832	18.064	-57.803	OK
MGYA00582833	17.427	-59.828	OK
MGYA00582834	15.525	-67.014	OK
MGYA00582835	15.069	-69.295	OK
MGYA00582836	14.158	-71.673	OK
MGYA00582837	5.912	-84.795	OK
MGYA00582838	7.224	-87.96	OK
MGYA00582839	8.142	-90.365	OK
MGYA00582840	9.446	-96.341	OK
MGYA00582841	10.093	-99.246	OK
MGYA00582842	10.759	-102.442	OK
MGYA00582843	12.001	-108.076	OK
MGYA00582844	13.205	-113.256	OK
MGYA00582845	13.804	-115.756	OK
MGYA00582846	14.529	-118.774	OK
MGYA00582847	15.909	-124.47	OK
MGYA00582848	17.37	-130.611	OK
MGYA00582849	18.028	-133.26	OK
MGYA00582850	18.653	-136.178	OK
MGYA00582851	19.892	-141.59	OK
MGYA00582852	20.784	-148.269	OK
MGYA00582853	21.064	-150.319	OK
MGYA00582854	21.57	-153.418	OK
MGYA00582855	21.89	-155.664	OK
MGYA00582856	11.593	-162.41	OK
MGYA00582857	9.201	-163.495	OK
MGYA00582858	6.992	-164.372	OK
MGYA00582859	3.748	-165.773	OK
MGYA00582860	1.599	-166.85	OK
MGYA00582861	-1.303	-168.354	OK
MGYA00582862	-3.41	-169.463	OK
MGYA00582863	-9.474	-172.298	OK
MGYA00582864	-11.242	-172.63	OK
MGYA00582865	-13.531	-173.372	OK
MGYA00582866	-15.903	-174.487	OK
MGYA00582867	-18.561	-175.823	OK
MGYA00582868	-23.377	-178.211	OK
MGYA00582869	-25.49	-179.524	OK
MGYA00582870	-28.406	179.141	OK
MGYA00582871	-34.056	176.016	OK
MGYA00582872	-36.642	151.006	OK
MGYA00582873	-38.621	150.417	OK
MGYA00582874	-40.55	142.497	OK
MGYA00582875	-39.867	138.735	OK
MGYA00582876	-39.243	135.139	OK
MGYA00582877	-38.578	131.507	OK
MGYA00582878	-37.889	127.75	OK
MGYA00582879	-37.239	124.898	OK
MGYA00582880	-37.239	124.898	OK
MGYA00582881	-36.639	120.856	OK
MGYA00582882	-31.554	113.467	OK
MGYA00582883	-31.554	113.467	OK
MGYA00582884	-30.811	107.237	OK
MGYA00582885	-30.333	103.308	OK
MGYA00582886	-29.627	92.984	OK
MGYA00582887	-29.811	82.623	OK
MGYA00582888	-29.904	76.093	OK
MGYA00582889	-29.354	69.4	OK
MGYA00582890	-28.128	66.493	OK
MGYA00582891	-33.194	43.248	OK
MGYA00582892	-33.563	39.885	OK
MGYA00582893	-33.907	37.042	OK
MGYA00582894	-32.813	12.769	OK
MGYA00582895	-25.427	-30.07	OK
MGYA00582896	-13.736	-32.376	OK
MGYA00582897	-35.983	117.407	OK
MGYA00582898	-30.328	103.317	OK
MGYA00582899	-29.574	96.407	OK
MGYA00582900	-29.561	72.444	OK
MGYA00582901	-27.978	63.248	OK
MGYA00582902	-30.055	61.431	OK
MGYA00582903	-34.44	31.112	OK
MGYA00582904	-34.837	27.549	OK
MGYA00582905	-35.136	25.563	OK
MGYA00582906	-33.233	15.34	OK
MGYA00582907	-31.832	6.857	OK
MGYA00582908	-31.308	3.749	OK
MGYA00582909	-30.882	0.968	OK
MGYA00582910	-30.262	-2.435	OK
MGYA00582911	-29.767	-5.315	OK
MGYA00582912	-28.091	-14.791	OK
MGYA00582913	-27.553	-18.089	OK
MGYA00582914	-26.947	-21.4	OK
MGYA00582915	-25.868	-27.567	OK
MGYA00582916	-24.792	-33.476	OK
MGYA00582917	-24.315	-36.222	OK
MGYA00582918	-22.955	-36.925	OK
MGYA00582919	-21.093	-35.972	OK
MGYA00582920	-18.424	-34.644	OK
MGYA00582921	-15.831	-33.403	OK
MGYA00582922	-7.283	-29.322	OK
MGYA00582923	-4.779	-28.169	OK
MGYA00582924	-3.03	-27.326	OK
MGYA00582925	2.457	-26.009	OK
MGYA00582926	4.989	-26.005	OK
MGYA00582927	7.324	-25.996	OK
MGYA00582928	9.564	-25.993	OK
MGYA00582929	14.52	-26	OK
MGYA00582930	16.164	-26.026	OK
MGYA00582931	21.45	-23.455	OK
MGYA00582932	24.972	-21.053	OK
MGYA00582933	28.702	-18.871	OK
MGYA00582934	29.683	-17.288	OK
MGYA00582935	34.001	-12.781	OK
MGYA00582936	35.135	-9.517	OK
