eventID	decimalLatitude	decimalLongitude	quality
MGYA00205584	41.66	2.8	OK
MGYA00205585	41.66	2.8	OK
MGYA00205586	41.66	2.8	OK
MGYA00205587	-5.99	-35.08	OK
MGYA00205588	-5.99	-35.08	OK
MGYA00205589	41.66	2.8	OK
MGYA00205590	-5.99	-35.08	OK
MGYA00205591	41.66	2.8	OK
MGYA00205592	-5.99	-35.08	OK
MGYA00205593	41.66	2.8	OK
MGYA00205594	41.66	2.8	OK
MGYA00205595	-5.99	-35.08	OK
MGYA00205596	-5.99	-35.08	OK
MGYA00205597	41.66	2.8	OK
MGYA00205598	41.66	2.8	OK
MGYA00205599	-5.99	-35.08	OK
MGYA00205600	41.66	2.8	OK
MGYA00205601	41.66	2.8	OK
MGYA00205602	41.66	2.8	OK
MGYA00205603	-5.99	-35.08	OK
MGYA00205604	41.66	2.8	OK
MGYA00205605	41.66	2.8	OK
MGYA00205606	-5.99	-35.08	OK
MGYA00205607	41.66	2.8	OK
MGYA00205608	-5.99	-35.08	OK
MGYA00205609	-5.99	-35.08	OK
MGYA00205610	41.66	2.8	OK
MGYA00205611	41.66	2.8	OK
MGYA00205612	41.66	2.8	OK
MGYA00205613	-5.99	-35.08	OK
MGYA00205614	-5.99	-35.08	OK
MGYA00205615	41.66	2.8	OK
MGYA00205616	-5.99	-35.08	OK
MGYA00205617	41.66	2.8	OK
MGYA00205618	41.66	2.8	OK
MGYA00205619	-5.99	-35.08	OK
MGYA00205620	41.66	2.8	OK
MGYA00205621	-5.99	-35.08	OK
MGYA00205622	-5.99	-35.08	OK
MGYA00205623	41.66	2.8	OK
MGYA00205624	41.66	2.8	OK
MGYA00205625	-5.99	-35.08	OK
MGYA00205626	-5.99	-35.08	OK
MGYA00205627	-5.99	-35.08	OK
MGYA00205628	-5.99	-35.08	OK
MGYA00205629	-5.99	-35.08	OK
MGYA00205630	-5.99	-35.08	OK
MGYA00205631	-5.99	-35.08	OK
